name,basin,year,t0,tf,findex,usimpact,canadaimpact,mexicoimpact
KAREN,NA,2001,00:00.0,00:00.0,1930,no,yes,no
LORENZO,NA,2001,00:00.0,00:00.0,1931,no,no,no
MICHELLE,NA,2001,00:00.0,00:00.0,1932,no,no,no
NOEL,NA,2001,00:00.0,00:00.0,1933,no,no,no
OLGA,NA,2001,00:00.0,00:00.0,1934,no,no,no
ARTHUR,NA,2002,00:00.0,00:00.0,1935,yes,yes,no
BERTHA,NA,2002,00:00.0,00:00.0,1936,yes,no,no
CRISTOBAL,NA,2002,00:00.0,00:00.0,1937,no,no,no
DOLLY,NA,2002,00:00.0,00:00.0,1938,no,no,no
EDOUARD,NA,2002,00:00.0,00:00.0,1939,yes,no,no
FAY,NA,2002,00:00.0,00:00.0,1940,yes,no,yes
NOT_NAMED,NA,2002,00:00.0,00:00.0,1941,no,no,no
GUSTAV,NA,2002,00:00.0,00:00.0,1942,yes,yes,no
HANNA,NA,2002,00:00.0,00:00.0,1943,yes,no,no
ISIDORE,NA,2002,00:00.0,00:00.0,1944,yes,no,yes
JOSEPHINE,NA,2002,00:00.0,00:00.0,1945,no,no,no
KYLE,NA,2002,00:00.0,00:00.0,1946,yes,no,no
LILI,NA,2002,00:00.0,00:00.0,1947,yes,no,no
NOT_NAMED,NA,2002,00:00.0,00:00.0,1948,no,no,no
ANA,NA,2003,00:00.0,00:00.0,1949,no,no,no
NOT_NAMED,NA,2003,00:00.0,00:00.0,1950,no,no,no
BILL,NA,2003,00:00.0,00:00.0,1951,yes,no,yes
CLAUDETTE,NA,2003,00:00.0,00:00.0,1952,yes,no,yes
DANNY,NA,2003,00:00.0,00:00.0,1953,no,no,no
NOT_NAMED,NA,2003,00:00.0,00:00.0,1954,no,no,no
NOT_NAMED,NA,2003,00:00.0,00:00.0,1955,yes,no,no
ERIKA,NA,2003,00:00.0,00:00.0,1956,no,no,yes
NOT_NAMED,NA,2003,00:00.0,00:00.0,1957,no,no,no
FABIAN,NA,2003,00:00.0,00:00.0,1958,no,no,no
GRACE,NA,2003,00:00.0,00:00.0,1959,yes,no,no
HENRI,NA,2003,00:00.0,00:00.0,1960,yes,no,no
ISABEL,NA,2003,00:00.0,00:00.0,1961,yes,yes,no
NOT_NAMED,NA,2003,00:00.0,00:00.0,1962,no,no,no
JUAN,NA,2003,00:00.0,00:00.0,1963,no,no,yes
KATE,NA,2003,00:00.0,00:00.0,1964,no,no,no
LARRY,NA,2003,00:00.0,00:00.0,1965,no,no,yes
MINDY,NA,2003,00:00.0,00:00.0,1966,no,no,no
NICHOLAS,NA,2003,00:00.0,00:00.0,1967,no,no,no
ODETTE,NA,2003,00:00.0,00:00.0,1968,no,no,no
PETER,NA,2003,00:00.0,00:00.0,1969,no,no,no
ALEX,NA,2004,00:00.0,00:00.0,1970,yes,no,no
BONNIE,NA,2004,00:00.0,00:00.0,1971,yes,no,no
CHARLEY,NA,2004,00:00.0,00:00.0,1972,yes,no,no
EARL,NA,2004,00:00.0,00:00.0,1973,no,no,no
DANIELLE,NA,2004,00:00.0,00:00.0,1974,no,no,no
FRANCES,NA,2004,00:00.0,00:00.0,1975,yes,no,no
HERMINE,NA,2004,00:00.0,00:00.0,1976,yes,no,no
GASTON,NA,2004,00:00.0,00:00.0,1977,yes,no,no
IVAN,NA,2004,00:00.0,00:00.0,1978,yes,no,no
NOT_NAMED,NA,2004,00:00.0,00:00.0,1979,no,no,no
JEANNE,NA,2004,00:00.0,00:00.0,1980,yes,no,no
KARL,NA,2004,00:00.0,00:00.0,1981,no,no,no
LISA,NA,2004,00:00.0,00:00.0,1982,no,no,no
MATTHEW,NA,2004,00:00.0,00:00.0,1983,yes,no,no
NICOLE,NA,2004,00:00.0,00:00.0,1984,no,no,no
OTTO,NA,2004,00:00.0,00:00.0,1985,no,no,no
ARLENE,NA,2005,00:00.0,00:00.0,1986,yes,yes,no
BRET,NA,2005,00:00.0,00:00.0,1987,no,no,yes
CINDY,NA,2005,00:00.0,00:00.0,1988,yes,yes,yes
DENNIS,NA,2005,00:00.0,00:00.0,1989,yes,no,no
EMILY,NA,2005,00:00.0,00:00.0,1990,no,no,yes
FRANKLIN,NA,2005,00:00.0,00:00.0,1991,no,no,no
GERT,NA,2005,00:00.0,00:00.0,1992,no,no,yes
HARVEY,NA,2005,00:00.0,00:00.0,1993,no,no,no
IRENE,NA,2005,00:00.0,00:00.0,1994,no,no,no
NOT_NAMED,NA,2005,00:00.0,00:00.0,1995,no,no,no
JOSE,NA,2005,00:00.0,00:00.0,1996,no,no,yes
KATRINA,NA,2005,00:00.0,00:00.0,1997,yes,no,no
LEE,NA,2005,00:00.0,00:00.0,1998,no,no,no
MARIA,NA,2005,00:00.0,00:00.0,1999,no,no,no
OPHELIA,NA,2005,00:00.0,00:00.0,2000,yes,yes,no
NATE,NA,2005,00:00.0,00:00.0,2001,no,no,no
PHILIPPE,NA,2005,00:00.0,00:00.0,2002,no,no,no
RITA,NA,2005,00:00.0,00:00.0,2003,yes,no,no
NOT_NAMED,NA,2005,00:00.0,00:00.0,2004,no,no,no
STAN,NA,2005,00:00.0,00:00.0,2005,no,no,yes
NOT_NAMED,NA,2005,00:00.0,00:00.0,2006,no,no,no
TAMMY,NA,2005,00:00.0,00:00.0,2007,yes,no,no
NOT_NAMED,NA,2005,00:00.0,00:00.0,2008,no,no,no
VINCE,NA,2005,00:00.0,00:00.0,2009,no,no,no
WILMA,NA,2005,00:00.0,00:00.0,2010,yes,no,yes
ALPHA,NA,2005,00:00.0,00:00.0,2011,no,no,no
BETA,NA,2005,00:00.0,00:00.0,2012,no,no,no
GAMMA,NA,2005,00:00.0,00:00.0,2013,no,no,no
DELTA,NA,2005,00:00.0,00:00.0,2014,no,no,no
EPSILON,NA,2005,00:00.0,00:00.0,2015,no,no,no
ZETA,NA,2005,00:00.0,00:00.0,2016,no,no,no
ALBERTO,NA,2006,00:00.0,00:00.0,2017,yes,yes,no
NOT_NAMED,NA,2006,00:00.0,00:00.0,2018,no,yes,no
BERYL,NA,2006,00:00.0,00:00.0,2019,no,yes,no
CHRIS,NA,2006,00:00.0,00:00.0,2020,no,no,no
DEBBY,NA,2006,00:00.0,00:00.0,2021,no,no,no
ERNESTO,NA,2006,00:00.0,00:00.0,2022,yes,yes,no
FLORENCE,NA,2006,00:00.0,00:00.0,2023,no,yes,no
GORDON,NA,2006,00:00.0,00:00.0,2024,no,no,no
HELENE,NA,2006,00:00.0,00:00.0,2025,no,no,no
ISAAC,NA,2006,00:00.0,00:00.0,2026,no,no,no
ANDREA,NA,2007,00:00.0,00:00.0,2027,no,no,no
BARRY,NA,2007,00:00.0,00:00.0,2028,yes,no,no
CHANTAL,NA,2007,00:00.0,00:00.0,2029,no,yes,no
DEAN,NA,2007,00:00.0,00:00.0,2030,no,no,yes
ERIN,NA,2007,00:00.0,00:00.0,2031,yes,no,no
FELIX,NA,2007,00:00.0,00:00.0,2032,no,no,yes
GABRIELLE,NA,2007,00:00.0,00:00.0,2033,yes,no,no
INGRID,NA,2007,00:00.0,00:00.0,2034,no,no,no
HUMBERTO,NA,2007,00:00.0,00:00.0,2035,yes,no,no
NOT_NAMED,NA,2007,00:00.0,00:00.0,2036,yes,no,no
JERRY,NA,2007,00:00.0,00:00.0,2037,no,no,no
KAREN,NA,2007,00:00.0,00:00.0,2038,no,no,no
LORENZO,NA,2007,00:00.0,00:00.0,2039,no,no,yes
MELISSA,NA,2007,00:00.0,00:00.0,2040,no,no,no
NOT_NAMED,NA,2007,00:00.0,00:00.0,2041,no,no,no
NOEL,NA,2007,00:00.0,00:00.0,2042,yes,yes,no
OLGA,NA,2007,00:00.0,00:00.0,2043,no,no,yes
ARTHUR,NA,2008,00:00.0,00:00.0,2044,no,no,yes
BERTHA,NA,2008,00:00.0,00:00.0,2045,no,no,no
CRISTOBAL,NA,2008,00:00.0,00:00.0,2046,yes,no,no
DOLLY,NA,2008,00:00.0,00:00.0,2047,yes,no,yes
EDOUARD,NA,2008,00:00.0,00:00.0,2048,yes,no,no
FAY,NA,2008,00:00.0,00:00.0,2049,yes,no,no
GUSTAV,NA,2008,00:00.0,00:00.0,2050,yes,no,no
HANNA,NA,2008,00:00.0,00:00.0,2051,yes,yes,no
IKE,NA,2008,00:00.0,00:00.0,2052,yes,yes,no
JOSEPHINE,NA,2008,00:00.0,00:00.0,2053,no,no,no
KYLE,NA,2008,00:00.0,00:00.0,2054,no,yes,no
LAURA,NA,2008,00:00.0,00:00.0,2055,no,no,no
MARCO,NA,2008,00:00.0,00:00.0,2056,no,no,yes
NANA,NA,2008,00:00.0,00:00.0,2057,no,no,no
OMAR,NA,2008,00:00.0,00:00.0,2058,no,no,no
NOT_NAMED,NA,2008,00:00.0,00:00.0,2059,no,no,no
PALOMA,NA,2008,00:00.0,00:00.0,2060,no,no,no
NOT_NAMED,NA,2009,00:00.0,00:00.0,2061,no,no,no
ANA,NA,2009,00:00.0,00:00.0,2062,no,no,no
BILL,NA,2009,00:00.0,00:00.0,2063,no,yes,no
CLAUDETTE,NA,2009,00:00.0,00:00.0,2064,yes,no,no
DANNY,NA,2009,00:00.0,00:00.0,2065,no,no,no
ERIKA,NA,2009,00:00.0,00:00.0,2066,no,no,no
FRED,NA,2009,00:00.0,00:00.0,2067,no,no,no
NOT_NAMED,NA,2009,00:00.0,00:00.0,2068,no,no,no
GRACE,NA,2009,00:00.0,00:00.0,2069,no,no,no
HENRI,NA,2009,00:00.0,00:00.0,2070,no,no,no
IDA,NA,2009,00:00.0,00:00.0,2071,yes,no,no
ALEX,NA,2010,00:00.0,00:00.0,2072,no,no,yes
NOT_NAMED,NA,2010,00:00.0,00:00.0,2073,yes,no,yes
BONNIE,NA,2010,00:00.0,00:00.0,2074,yes,no,no
COLIN,NA,2010,00:00.0,00:00.0,2075,no,no,no
NOT_NAMED,NA,2010,00:00.0,00:00.0,2076,yes,no,no
DANIELLE,NA,2010,00:00.0,00:00.0,2077,no,no,no
EARL,NA,2010,00:00.0,00:00.0,2078,no,yes,no
FIONA,NA,2010,00:00.0,00:00.0,2079,no,no,no
GASTON,NA,2010,00:00.0,00:00.0,2080,no,no,no
HERMINE,NA,2010,00:00.0,00:00.0,2081,yes,no,yes
IGOR,NA,2010,00:00.0,00:00.0,2082,no,yes,no
JULIA,NA,2010,00:00.0,00:00.0,2083,no,no,no
KARL,NA,2010,00:00.0,00:00.0,2084,no,no,yes
LISA,NA,2010,00:00.0,00:00.0,2085,no,no,no
MATTHEW,NA,2010,00:00.0,00:00.0,2086,no,no,yes
NICOLE,NA,2010,00:00.0,00:00.0,2087,no,no,no
OTTO,NA,2010,00:00.0,00:00.0,2088,no,no,no
PAULA,NA,2010,00:00.0,00:00.0,2089,no,no,yes
RICHARD,NA,2010,00:00.0,00:00.0,2090,no,no,yes
TOMAS,NA,2010,00:00.0,00:00.0,2091,no,no,no
SHARY,NA,2010,00:00.0,00:00.0,2092,no,no,no
ARLENE,NA,2011,00:00.0,00:00.0,2093,no,no,yes
BRET,NA,2011,00:00.0,00:00.0,2094,no,no,no
CINDY,NA,2011,00:00.0,00:00.0,2095,no,no,no
DON,NA,2011,00:00.0,00:00.0,2096,yes,no,yes
EMILY,NA,2011,00:00.0,00:00.0,2097,no,no,no
GERT,NA,2011,00:00.0,00:00.0,2098,no,no,no
FRANKLIN,NA,2011,00:00.0,00:00.0,2099,no,no,no
HARVEY,NA,2011,00:00.0,00:00.0,2100,no,no,yes
IRENE,NA,2011,00:00.0,00:00.0,2101,yes,yes,no
NOT_NAMED,NA,2011,00:00.0,00:00.0,2102,no,no,no
JOSE,NA,2011,00:00.0,00:00.0,2103,no,no,no
KATIA,NA,2011,00:00.0,00:00.0,2104,no,no,no
NOT_NAMED,NA,2011,00:00.0,00:00.0,2105,no,no,no
LEE,NA,2011,00:00.0,00:00.0,2106,yes,no,no
MARIA,NA,2011,00:00.0,30:00.0,2107,no,yes,no
NATE,NA,2011,00:00.0,00:00.0,2108,no,no,yes
OPHELIA,NA,2011,00:00.0,00:00.0,2109,no,yes,no
PHILIPPE,NA,2011,00:00.0,00:00.0,2110,no,no,no
RINA,NA,2011,00:00.0,00:00.0,2111,no,no,yes
SEAN,NA,2011,00:00.0,00:00.0,2112,no,no,no
ALBERTO,NA,2012,00:00.0,00:00.0,2113,no,no,no
BERYL,NA,2012,00:00.0,00:00.0,2114,yes,no,no
CHRIS,NA,2012,00:00.0,00:00.0,2115,no,no,no
DEBBY,NA,2012,00:00.0,00:00.0,2116,yes,no,no
ERNESTO,NA,2012,00:00.0,00:00.0,2117,no,no,yes
FLORENCE,NA,2012,00:00.0,00:00.0,2118,no,no,no
HELENE,NA,2012,00:00.0,00:00.0,2119,no,no,yes
GORDON,NA,2012,00:00.0,00:00.0,2120,no,no,no
ISAAC,NA,2012,00:00.0,00:00.0,2121,yes,no,no
JOYCE,NA,2012,00:00.0,00:00.0,2122,no,no,no
LESLIE,NA,2012,00:00.0,00:00.0,2123,no,yes,no
KIRK,NA,2012,00:00.0,00:00.0,2124,no,no,no
MICHAEL,NA,2012,00:00.0,00:00.0,2125,no,no,no
NADINE,NA,2012,00:00.0,00:00.0,2126,no,no,no
OSCAR,NA,2012,00:00.0,00:00.0,2127,no,no,no
PATTY,NA,2012,00:00.0,00:00.0,2128,no,no,no
RAFAEL,NA,2012,00:00.0,00:00.0,2129,no,no,no
SANDY,NA,2012,00:00.0,00:00.0,2130,yes,no,no
TONY,NA,2012,00:00.0,00:00.0,2131,no,no,no
BARBARA,NA,2013,00:00.0,00:00.0,2132,no,no,yes
ANDREA,NA,2013,00:00.0,00:00.0,2133,yes,no,no
BARRY,NA,2013,00:00.0,00:00.0,2134,no,no,yes
CHANTAL,NA,2013,00:00.0,00:00.0,2135,no,no,no
DORIAN,NA,2013,00:00.0,00:00.0,2136,yes,no,no
ERIN,NA,2013,00:00.0,00:00.0,2137,no,no,no
FERNAND,NA,2013,00:00.0,00:00.0,2138,no,no,yes
GABRIELLE,NA,2013,00:00.0,00:00.0,2139,no,no,no
NOT_NAMED,NA,2013,00:00.0,00:00.0,2140,no,no,yes
HUMBERTO,NA,2013,00:00.0,00:00.0,2141,no,no,no
INGRID,NA,2013,00:00.0,00:00.0,2142,no,no,yes
JERRY,NA,2013,00:00.0,00:00.0,2143,no,no,no
KAREN,NA,2013,00:00.0,00:00.0,2144,no,no,yes
LORENZO,NA,2013,00:00.0,00:00.0,2145,no,no,no
MELISSA,NA,2013,00:00.0,00:00.0,2146,no,no,no
NOT_NAMED,NA,2013,00:00.0,00:00.0,2147,no,no,no
ARTHUR,NA,2014,00:00.0,00:00.0,2148,yes,yes,no
NOT_NAMED,NA,2014,00:00.0,00:00.0,2149,no,no,no
BERTHA,NA,2014,00:00.0,00:00.0,2150,no,no,no
CRISTOBAL,NA,2014,00:00.0,00:00.0,2151,no,no,no
DOLLY,NA,2014,00:00.0,00:00.0,2152,no,no,yes
EDOUARD,NA,2014,00:00.0,00:00.0,2153,no,no,no
FAY,NA,2014,00:00.0,00:00.0,2154,no,no,no
GONZALO,NA,2014,00:00.0,00:00.0,2155,no,yes,no
HANNA,NA,2014,00:00.0,00:00.0,2156,no,no,yes
ANA,NA,2015,00:00.0,00:00.0,2157,yes,no,no
BILL,NA,2015,00:00.0,00:00.0,2158,yes,no,no
CLAUDETTE,NA,2015,00:00.0,00:00.0,2159,yes,yes,no
DANNY,NA,2015,00:00.0,00:00.0,2160,no,no,no
ERIKA,NA,2015,00:00.0,00:00.0,2161,yes,no,no
FRED,NA,2015,00:00.0,00:00.0,2162,no,no,no
GRACE,NA,2015,00:00.0,00:00.0,2163,no,no,no
HENRI,NA,2015,00:00.0,00:00.0,2164,no,no,no
NOT_NAMED,NA,2015,00:00.0,00:00.0,2165,no,no,no
IDA,NA,2015,00:00.0,00:00.0,2166,no,no,no
JOAQUIN,NA,2015,00:00.0,00:00.0,2167,no,no,no
KATE,NA,2015,00:00.0,00:00.0,2168,no,no,no
ALEX,NA,2016,00:00.0,00:00.0,2169,no,no,no
BONNIE,NA,2016,00:00.0,00:00.0,2170,yes,no,no
COLIN,NA,2016,00:00.0,00:00.0,2171,yes,no,no
DANIELLE,NA,2016,00:00.0,00:00.0,2172,no,no,yes
EARL,NA,2016,00:00.0,00:00.0,2173,no,no,yes
FIONA,NA,2016,00:00.0,00:00.0,2174,no,no,no
GASTON,NA,2016,00:00.0,00:00.0,2175,no,no,no
NOT_NAMED,NA,2016,00:00.0,00:00.0,2176,no,no,no
HERMINE,NA,2016,00:00.0,00:00.0,2177,yes,no,no
IAN,NA,2016,00:00.0,00:00.0,2178,no,no,no
KARL,NA,2016,00:00.0,00:00.0,2179,no,no,no
JULIA,NA,2016,00:00.0,00:00.0,2180,yes,no,no
LISA,NA,2016,00:00.0,00:00.0,2181,no,no,no
MATTHEW,NA,2016,00:00.0,00:00.0,2182,yes,no,no
NICOLE,NA,2016,00:00.0,00:00.0,2183,no,no,no
OTTO,NA,2016,00:00.0,00:00.0,2184,no,no,no
ARLENE,NA,2017,00:00.0,00:00.0,2185,no,no,no
BRET,NA,2017,00:00.0,00:00.0,2186,no,no,no
CINDY,NA,2017,00:00.0,00:00.0,2187,yes,no,no
NOT_NAMED,NA,2017,00:00.0,00:00.0,2188,no,no,no
DON,NA,2017,00:00.0,00:00.0,2189,no,no,no
EMILY,NA,2017,00:00.0,00:00.0,2190,yes,no,no
FRANKLIN,NA,2017,00:00.0,00:00.0,2191,no,no,yes
GERT,NA,2017,00:00.0,00:00.0,2192,no,no,no
HARVEY,NA,2017,00:00.0,00:00.0,2193,yes,no,yes
NOT_NAMED,NA,2017,00:00.0,00:00.0,2194,yes,no,no
IRMA,NA,2017,00:00.0,00:00.0,2195,yes,no,no
JOSE,NA,2017,00:00.0,00:00.0,2196,no,no,no
KATIA,NA,2017,00:00.0,00:00.0,2197,no,no,yes
LEE,NA,2017,00:00.0,00:00.0,2198,no,no,no
MARIA,NA,2017,00:00.0,00:00.0,2199,yes,no,no
NATE,NA,2017,00:00.0,00:00.0,2200,yes,yes,no
OPHELIA,NA,2017,00:00.0,00:00.0,2201,no,no,no
PHILIPPE,NA,2017,00:00.0,00:00.0,2202,no,no,no
RINA,NA,2017,00:00.0,00:00.0,2203,no,no,no
ALBERTO,NA,2018,00:00.0,00:00.0,2204,yes,no,yes
BERYL,NA,2018,00:00.0,00:00.0,2205,no,no,no
CHRIS,NA,2018,00:00.0,00:00.0,2206,no,yes,no
DEBBY,NA,2018,00:00.0,00:00.0,2207,no,no,no
ERNESTO,NA,2018,00:00.0,00:00.0,2208,no,no,no
FLORENCE,NA,2018,00:00.0,00:00.0,2209,yes,no,no
GORDON,NA,2018,00:00.0,00:00.0,2210,yes,no,no
ISAAC,NA,2018,00:00.0,00:00.0,2211,no,no,no
HELENE,NA,2018,00:00.0,00:00.0,2212,no,no,no
JOYCE,NA,2018,00:00.0,00:00.0,2213,no,no,no
KIRK,NA,2018,00:00.0,00:00.0,2214,no,no,no
NOT_NAMED,NA,2018,00:00.0,00:00.0,2215,no,no,no
LESLIE,NA,2018,00:00.0,00:00.0,2216,no,no,no
MICHAEL,NA,2018,00:00.0,00:00.0,2217,yes,no,no
NADINE,NA,2018,00:00.0,00:00.0,2218,no,no,no
OSCAR,NA,2018,00:00.0,00:00.0,2219,no,no,no
ANDREA,NA,2019,00:00.0,00:00.0,2220,no,no,no
BARRY,NA,2019,00:00.0,00:00.0,2221,yes,no,no
NOT_NAMED,NA,2019,00:00.0,00:00.0,2222,yes,no,no
CHANTAL,NA,2019,00:00.0,00:00.0,2223,no,no,no
DORIAN,NA,2019,00:00.0,00:00.0,2224,yes,yes,no
ERIN,NA,2019,00:00.0,00:00.0,2225,no,no,no
GABRIELLE,NA,2019,00:00.0,00:00.0,2226,no,no,no
FERNAND,NA,2019,00:00.0,00:00.0,2227,no,no,yes
HUMBERTO,NA,2019,00:00.0,00:00.0,2228,no,no,no
JERRY,NA,2019,00:00.0,00:00.0,2229,no,no,no
IMELDA,NA,2019,00:00.0,00:00.0,2230,yes,no,no
KAREN,NA,2019,00:00.0,00:00.0,2231,yes,no,no
LORENZO,NA,2019,00:00.0,00:00.0,2232,no,no,no
MELISSA,NA,2019,00:00.0,00:00.0,2233,no,no,no
NOT_NAMED,NA,2019,00:00.0,00:00.0,2234,no,no,no
NESTOR,NA,2019,00:00.0,00:00.0,2235,yes,no,no
PABLO,NA,2019,00:00.0,00:00.0,2236,no,no,no
OLGA,NA,2019,00:00.0,00:00.0,2237,yes,no,no
REBEKAH,NA,2019,00:00.0,00:00.0,2238,no,no,no
SEBASTIEN,NA,2019,00:00.0,00:00.0,2239,no,no,no
