name,basin,year,t0,tf,findex,usimpact,canadaimpact,mexicoimpact
NOT_NAMED,NA,2000,00:00.0,00:00.0,1899,no,no,no
NOT_NAMED,NA,2000,00:00.0,00:00.0,1900,no,no,no
ALBERTO,NA,2000,00:00.0,00:00.0,1901,no,no,no
NOT_NAMED,NA,2000,00:00.0,00:00.0,1902,no,no,no
BERYL,NA,2000,00:00.0,00:00.0,1903,no,no,yes
CHRIS,NA,2000,00:00.0,00:00.0,1904,no,no,no
DEBBY,NA,2000,00:00.0,00:00.0,1905,no,no,no
ERNESTO,NA,2000,00:00.0,00:00.0,1906,no,no,no
NOT_NAMED,NA,2000,00:00.0,00:00.0,1907,yes,no,no
FLORENCE,NA,2000,00:00.0,00:00.0,1908,no,no,no
GORDON,NA,2000,00:00.0,00:00.0,1909,yes,no,yes
HELENE,NA,2000,00:00.0,00:00.0,1910,yes,no,no
ISAAC,NA,2000,00:00.0,00:00.0,1911,no,no,no
JOYCE,NA,2000,00:00.0,00:00.0,1912,no,no,no
KEITH,NA,2000,00:00.0,00:00.0,1913,no,no,yes
LESLIE,NA,2000,00:00.0,00:00.0,1914,yes,yes,no
MICHAEL,NA,2000,00:00.0,00:00.0,1915,no,yes,no
NADINE,NA,2000,00:00.0,00:00.0,1916,no,no,no
NOT_NAMED,NA,2000,00:00.0,00:00.0,1917,no,no,no
ALLISON,NA,2001,00:00.0,00:00.0,1918,yes,no,no
NOT_NAMED,NA,2001,00:00.0,00:00.0,1919,no,no,no
BARRY,NA,2001,00:00.0,00:00.0,1920,yes,no,no
CHANTAL,NA,2001,00:00.0,00:00.0,1921,no,no,yes
DEAN,NA,2001,00:00.0,00:00.0,1922,no,no,no
ERIN,NA,2001,00:00.0,00:00.0,1923,no,no,no
FELIX,NA,2001,00:00.0,00:00.0,1924,no,no,no
GABRIELLE,NA,2001,00:00.0,00:00.0,1925,yes,no,no
NOT_NAMED,NA,2001,00:00.0,00:00.0,1926,no,no,no
HUMBERTO,NA,2001,00:00.0,00:00.0,1927,no,no,no
IRIS,NA,2001,00:00.0,00:00.0,1928,no,no,yes
JERRY,NA,2001,00:00.0,00:00.0,1929,no,no,no
