name,basin,year,t0,tf,findex,usimpact,canadaimpact,mexicoimpact
KAREN,['NA'],2013,10/3/13 6:00,10/6/13 6:00,2144,no,no,yes
LORENZO,['NA'],2013,10/21/13 6:00,10/26/13 6:00,2145,no,no,no
MELISSA,['NA'],2013,11/17/13 0:00,11/23/13 6:00,2146,no,no,no
NOT_NAMED,['NA'],2013,12/3/13 18:00,12/7/13 12:00,2147,no,no,no
ARTHUR,['NA'],2014,6/28/14 18:00,7/9/14 18:00,2148,yes,yes,no
NOT_NAMED,['NA'],2014,7/19/14 12:00,7/23/14 12:00,2149,no,no,no
BERTHA,['NA'],2014,7/29/14 6:00,8/9/14 12:00,2150,no,no,no
CRISTOBAL,['NA'],2014,8/23/14 18:00,9/2/14 6:00,2151,no,no,no
DOLLY,['NA'],2014,9/1/14 12:00,9/4/14 0:00,2152,no,no,yes
EDOUARD,['NA'],2014,9/10/14 18:00,9/22/14 6:00,2153,no,no,no
FAY,['NA'],2014,10/10/14 0:00,10/13/14 0:00,2154,no,no,no
GONZALO,['NA'],2014,10/11/14 18:00,10/20/14 6:00,2155,no,yes,no
HANNA,['NA'],2014,10/21/14 0:00,10/29/14 18:00,2156,no,no,yes
ANA,['NA'],2015,5/6/15 6:00,5/12/15 18:00,2157,yes,no,no
BILL,['NA'],2015,6/16/15 0:00,6/21/15 0:00,2158,yes,no,no
CLAUDETTE,['NA'],2015,7/12/15 0:00,7/15/15 12:00,2159,yes,yes,no
DANNY,['NA'],2015,8/17/15 0:00,8/24/15 12:00,2160,no,no,no
ERIKA,['NA'],2015,8/24/15 18:00,8/28/15 12:00,2161,yes,no,no
FRED,['NA'],2015,8/30/15 0:00,9/6/15 12:00,2162,no,no,no
GRACE,['NA'],2015,9/5/15 6:00,9/9/15 6:00,2163,no,no,no
HENRI,['NA'],2015,9/8/15 6:00,9/11/15 6:00,2164,no,no,no
NOT_NAMED,['NA'],2015,9/15/15 0:00,9/19/15 12:00,2165,no,no,no
IDA,['NA'],2015,9/15/15 12:00,9/28/15 0:00,2166,no,no,no
JOAQUIN,['NA'],2015,9/26/15 18:00,10/15/15 0:00,2167,no,no,no
KATE,['NA'],2015,11/8/15 18:00,11/13/15 12:00,2168,no,no,no
ALEX,['NA'],2016,1/7/16 0:00,1/17/16 0:00,2169,no,no,no
BONNIE,['NA'],2016,5/27/16 6:00,6/9/16 18:00,2170,yes,no,no
COLIN,['NA'],2016,6/5/16 12:00,6/8/16 18:00,2171,yes,no,no
DANIELLE,['NA'],2016,6/18/16 18:00,6/21/16 6:00,2172,no,no,yes
EARL,['NA'],2016,8/2/16 6:00,8/6/16 12:00,2173,no,no,yes
FIONA,['NA'],2016,8/16/16 18:00,8/24/16 6:00,2174,no,no,no
GASTON,['NA'],2016,8/21/16 12:00,9/3/16 12:00,2175,no,no,no
NOT_NAMED,['NA'],2016,8/27/16 0:00,9/1/16 0:00,2176,no,no,no
HERMINE,['NA'],2016,8/28/16 18:00,9/8/16 18:00,2177,yes,no,no
IAN,['NA'],2016,9/12/16 0:00,9/17/16 0:00,2178,no,no,no
KARL,['NA'],2016,9/12/16 18:00,9/26/16 0:00,2179,no,no,no
JULIA,['NA'],2016,9/13/16 6:00,9/21/16 6:00,2180,yes,no,no
LISA,['NA'],2016,9/19/16 6:00,9/26/16 12:00,2181,no,no,no
MATTHEW,['NA'],2016,9/28/16 12:00,10/10/16 0:00,2182,yes,no,no
NICOLE,['NA'],2016,10/4/16 6:00,10/19/16 12:00,2183,no,no,no
OTTO,"['EP', 'NA']",2016,11/17/16 18:00,11/26/16 12:00,2184,no,no,no
ARLENE,['NA'],2017,4/16/17 6:00,4/22/17 18:00,2185,no,no,no
BRET,['NA'],2017,6/18/17 18:00,6/20/17 9:00,2186,no,no,no
CINDY,['NA'],2017,6/19/17 18:00,6/24/17 6:00,2187,yes,no,no
NOT_NAMED,['NA'],2017,7/5/17 12:00,7/7/17 12:00,2188,no,no,no
DON,['NA'],2017,7/17/17 0:00,7/18/17 12:00,2189,no,no,no
EMILY,['NA'],2017,7/30/17 18:00,8/2/17 0:00,2190,yes,no,no
FRANKLIN,['NA'],2017,8/6/17 18:00,8/10/17 12:00,2191,no,no,yes
GERT,['NA'],2017,8/12/17 0:00,8/18/17 18:00,2192,no,no,no
HARVEY,['NA'],2017,8/16/17 6:00,9/2/17 12:00,2193,yes,no,yes
NOT_NAMED,['NA'],2017,8/27/17 18:00,8/29/17 18:00,2194,yes,no,no
IRMA,['NA'],2017,8/30/17 0:00,9/13/17 12:00,2195,yes,no,no
JOSE,['NA'],2017,9/4/17 6:00,9/25/17 6:00,2196,no,no,no
KATIA,['NA'],2017,9/5/17 12:00,9/9/17 12:00,2197,no,no,yes
LEE,['NA'],2017,9/14/17 18:00,9/30/17 6:00,2198,no,no,no
MARIA,['NA'],2017,9/16/17 12:00,10/2/17 12:00,2199,yes,no,no
NATE,['NA'],2017,10/3/17 12:00,10/11/17 0:00,2200,yes,yes,no
OPHELIA,['NA'],2017,10/6/17 12:00,10/17/17 18:00,2201,no,no,no
PHILIPPE,['NA'],2017,10/27/17 18:00,10/29/17 0:00,2202,no,no,no
RINA,['NA'],2017,11/4/17 12:00,11/9/17 12:00,2203,no,no,no
ALBERTO,['NA'],2018,5/25/18 12:00,5/31/18 12:00,2204,yes,no,yes
BERYL,['NA'],2018,7/4/18 12:00,7/17/18 6:00,2205,no,no,no
CHRIS,['NA'],2018,7/5/18 6:00,7/17/18 12:00,2206,no,yes,no
DEBBY,['NA'],2018,8/2/18 18:00,8/10/18 12:00,2207,no,no,no
ERNESTO,['NA'],2018,8/15/18 0:00,8/19/18 6:00,2208,no,no,no
FLORENCE,['NA'],2018,8/30/18 6:00,9/18/18 12:00,2209,yes,no,no
GORDON,['NA'],2018,9/2/18 18:00,9/7/18 18:00,2210,yes,no,no
ISAAC,['NA'],2018,9/7/18 12:00,9/15/18 0:00,2211,no,no,no
HELENE,['NA'],2018,9/7/18 12:00,9/17/18 18:00,2212,no,no,no
JOYCE,['NA'],2018,9/12/18 0:00,9/21/18 12:00,2213,no,no,no
KIRK,['NA'],2018,9/22/18 6:00,9/28/18 18:00,2214,no,no,no
NOT_NAMED,['NA'],2018,9/21/18 18:00,9/22/18 18:00,2215,no,no,no
LESLIE,['NA'],2018,9/22/18 0:00,10/14/18 0:00,2216,no,no,no
MICHAEL,['NA'],2018,10/6/18 18:00,10/15/18 18:00,2217,yes,no,no
NADINE,['NA'],2018,10/8/18 12:00,10/12/18 18:00,2218,no,no,no
OSCAR,['NA'],2018,10/26/18 18:00,11/4/18 12:00,2219,no,no,no
ANDREA,['NA'],2019,5/20/19 18:00,5/22/19 6:00,2220,no,no,no
BARRY,['NA'],2019,7/10/19 12:00,7/16/19 6:00,2221,yes,no,no
THREE,['NA'],2019,7/22/19 12:00,7/23/19 12:00,2222,yes,no,no
CHANTAL,['NA'],2019,8/20/19 18:00,8/26/19 18:00,2223,no,no,no
DORIAN,['NA'],2019,8/24/19 6:00,9/9/19 0:00,2224,yes,yes,no
ERIN,['NA'],2019,8/26/19 12:00,8/29/19 18:00,2225,no,no,no
GABRIELLE,['NA'],2019,9/3/19 0:00,9/11/19 12:00,2226,no,no,no
